paper_key,paper_number,paper_kind,structure_role,file_name,title,tex_path,pdf_path,pdf_exists,doi_count,doi_list,ids_cited_count,ids_cited,ids_in_master_count,missing_ids_count,missing_ids,equation_like_count,theorem_env_count,theorem_word_count,wolfram_status_summary,isabelle_theory_count,isabelle_theories,coverage_status
companion11,11,companion,zenodo_main_structure,companion11_algebraic_signal_geometric_enforcement.tex,"Algebraic Signal, Geometric Enforcement: The 32/27 Ratio Family [0.6em] TZPID Companion Spine Series, Paper C11 of XXVII \normalsize The recurring chi = 1.185185... and its enforcement geometry",D:\TZPIDProof\peer_review\tex\companion11_algebraic_signal_geometric_enforcement.tex,D:\TZPIDProof\peer_review\pdf\companion11_algebraic_signal_geometric_enforcement.pdf,yes,0,,11,ID0097; ID0130; ID0481; ID0949; ID1493; ID1835; ID2142; ID6583; ID8515; ID8586; ID8787,11,0,,2,0,42,1/1 pass:8; 3/3 pass:3,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion12,12,companion,zenodo_main_structure,companion12_fliptwistramp.tex,"FlipTwistRamp: A Dual-Carrier Architecture with Phase-Inversion Seam [0.6em] TZPID Companion Spine Series, Paper C12 of XXVII \normalsize From the pair (153600, 129600) to transient topological defects",D:\TZPIDProof\peer_review\tex\companion12_fliptwistramp.tex,D:\TZPIDProof\peer_review\pdf\companion12_fliptwistramp.pdf,yes,0,,9,ID0020; ID0131; ID0245; ID2354; ID3513; ID3514; ID8351; ID8382; ID8391,9,0,,2,0,25,1/1 pass:7; 3/3 pass:2,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion13,13,companion,zenodo_main_structure,companion13_pi_slide.tex,"The PiLLAR System: Positional Addressing in the Digits of Pi [0.6em] TZPID Companion Spine Series, Paper C13 of XXVII \normalsize Logarithmic address retrieval, PiID, and the TZPi index",D:\TZPIDProof\peer_review\tex\companion13_pi_slide.tex,D:\TZPIDProof\peer_review\pdf\companion13_pi_slide.pdf,yes,0,,8,ID0428; ID3532; ID6190; ID7904; ID8559; ID8896; ID9009; ID9010,8,0,,2,0,32,1/1 pass:8,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion14,14,companion,zenodo_main_structure,companion14_entrainment_and_daanssphere_axis.tex,"Entrainment and the DAANSsphere Axis [0.6em] TZPID Companion Spine Series, Paper C14 of XXVII \normalsize Addressable axes, polarization frames, and fractal boundary modulation",D:\TZPIDProof\peer_review\tex\companion14_entrainment_and_daanssphere_axis.tex,D:\TZPIDProof\peer_review\pdf\companion14_entrainment_and_daanssphere_axis.pdf,yes,0,,7,ID0471; ID0483; ID2237; ID9491; ID9492; ID9493; ID9494,7,0,,2,0,41,1/1 pass:7,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion15,15,companion,zenodo_main_structure,companion15_programmable_pathway_to_induce_structure.tex,"A Programmable Pathway to Structured Hyperspherical States [0.6em] TZPID Companion Spine Series, Paper C15 of XXVII \normalsize From geometric assumptions to operator control and semantic readout",D:\TZPIDProof\peer_review\tex\companion15_programmable_pathway_to_induce_structure.tex,D:\TZPIDProof\peer_review\pdf\companion15_programmable_pathway_to_induce_structure.pdf,yes,0,,7,ID10041; ID1807; ID1874; ID2880; ID9001; ID9140; ID9860,7,0,,2,0,30,1/1 pass:4; 2/2 pass:3,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion16,16,companion,zenodo_main_structure,companion16_recursivetoroidalencoding.tex,"Recursive Toroidal Encoding of the DAANSsphere [0.6em] TZPID Companion Spine Series, Paper C16 of XXVII \normalsize Every circle a torus: the fiber-bundle reading of the 153600-point lattice",D:\TZPIDProof\peer_review\tex\companion16_recursivetoroidalencoding.tex,D:\TZPIDProof\peer_review\pdf\companion16_recursivetoroidalencoding.pdf,yes,0,,8,ID0245; ID0358; ID0360; ID0362; ID0472; ID9638; ID9688; ID9692,8,0,,2,0,34,1/1 pass:7; 3/3 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion17,17,companion,zenodo_main_structure,companion17_elasser.tex,"The Elsasser Attractor as Actively Maintained Gyromagnetic State [0.6em] TZPID Companion Spine Series, Paper C17 of XXVII \normalsize Cross-scale rotational persistence beyond passive remnants",D:\TZPIDProof\peer_review\tex\companion17_elasser.tex,D:\TZPIDProof\peer_review\pdf\companion17_elasser.pdf,yes,0,,7,ID0500; ID2269; ID8826; ID9081; ID9084; ID9086; ID9087,7,0,,2,0,42,1/1 pass:7,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion18,18,companion,zenodo_main_structure,companion18_gyromagnetic_validation.tex,"Gyromagnetic Validation: Toroidal Constraints and Lunar-Terrestrial Correlation [0.6em] TZPID Companion Spine Series, Paper C18 of XXVII \normalsize Empirical checkpoints for the Trawin topology's movement claims",D:\TZPIDProof\peer_review\tex\companion18_gyromagnetic_validation.tex,D:\TZPIDProof\peer_review\pdf\companion18_gyromagnetic_validation.pdf,yes,0,,7,ID10128; ID10134; ID10245; ID10255; ID1742; ID8689; ID8690,7,0,,2,0,28,1/1 pass:3; 2/2 pass:4,14,TZPID_GyroWave_Sky; TZPID_GyromagneticMovement_CirculationDiagnostic; TZPID_GyromagneticMovement_Computational_Checks; TZPID_GyromagneticMovement_CorrectedWinding; TZPID_GyromagneticMovement_Focus; TZPID_GyromagneticMovement_LoopIndex; TZPID_GyromagneticMovement_MHD_Helicity; TZPID_GyromagneticMovement_Typed_PhaseGradient; TZPID_GyromagneticMovement_VectorCalculus; TZPID_MagneticTorsion_VectorMHD; TZPID_Magnetic_Torsion_Model; TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion19,19,companion,zenodo_main_structure,companion19_magneticlevitation.tex,"Superconducting Magnetic Levitation with a Rotating Double Helix [0.6em] TZPID Companion Spine Series, Paper C19 of XXVII \normalsize A complete mathematical model for helical levitation at human scale",D:\TZPIDProof\peer_review\tex\companion19_magneticlevitation.tex,D:\TZPIDProof\peer_review\pdf\companion19_magneticlevitation.pdf,yes,0,,7,ID0409; ID1780; ID1935; ID1955; ID2301; ID3321; ID9399,7,0,,2,0,28,1/1 pass:7,6,TZPID_GyromagneticMovement_MHD_Helicity; TZPID_MagneticTorsion_VectorMHD; TZPID_Magnetic_Torsion_Model; TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion20,20,companion,zenodo_main_structure,companion20_step_by_step.tex,"Step by Step: Winch-Crane Logistics of the Great Pyramid [0.6em] TZPID Companion Spine Series, Paper C20 of XXVII \normalsize Discrete hoisting, turning radii, and accumulation as construction",D:\TZPIDProof\peer_review\tex\companion20_step_by_step.tex,D:\TZPIDProof\peer_review\pdf\companion20_step_by_step.pdf,yes,0,,8,ID0047; ID0048; ID3297; ID6459; ID9819; ID9885; ID9896; ID9915,8,0,,2,0,35,1/1 pass:7; 4/4 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion21,21,companion,zenodo_main_structure,companion21_gravitational_emergence_tpz.tex,"Gravitational Emergence at the Trawin Zero Point [0.6em] TZPID Companion Spine Series, Paper C21 of XXVII \normalsize Infinite-order phase transitions as the source of curvature",D:\TZPIDProof\peer_review\tex\companion21_gravitational_emergence_tpz.tex,D:\TZPIDProof\peer_review\pdf\companion21_gravitational_emergence_tpz.pdf,yes,0,,7,ID0100; ID1927; ID4227; ID5092; ID6489; ID8652; ID9485,7,0,,2,0,24,1/1 pass:4; 2/2 pass:1; 4/4 pass:1; 6/6 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion22,22,companion,zenodo_main_structure,companion22_emergent_curvature_theory.tex,"Emergent Curvature from Accumulated Quantum Information [0.6em] TZPID Companion Spine Series, Paper C22 of XXVII \normalsize The entanglement kernel behind the series' accumulation laws",D:\TZPIDProof\peer_review\tex\companion22_emergent_curvature_theory.tex,D:\TZPIDProof\peer_review\pdf\companion22_emergent_curvature_theory.pdf,yes,0,,7,ID3672; ID3673; ID5818; ID9106; ID9859; ID9965; ID9967,7,0,,2,0,34,1/1 pass:5; 2/2 pass:2,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion23,23,companion,zenodo_main_structure,companion23_universal_field_theory_rendered.tex,"Universal Field Theory: Bridge-Tunnel Structures from Vacuum Singularities [0.6em] TZPID Companion Spine Series, Paper C23 of XXVII \normalsize Category-theoretic passage from quantum topology to Einstein manifolds",D:\TZPIDProof\peer_review\tex\companion23_universal_field_theory_rendered.tex,D:\TZPIDProof\peer_review\pdf\companion23_universal_field_theory_rendered.pdf,yes,0,,7,ID0330; ID0333; ID0394; ID3672; ID4226; ID4227; ID6489,7,0,,2,0,23,1/1 pass:2; 2/2 pass:1; 3/3 pass:2; 4/4 pass:1; 6/6 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion24,24,companion,zenodo_main_structure,companion24_trawin_enlil_protocol.tex,"The Trawin-Enlil Protocol: Emergent Matter from a Hyperspherical Zero-Point Field [0.6em] TZPID Companion Spine Series, Paper C24 of XXVII \normalsize Bessel-resonance validation of the TZP ansatz",D:\TZPIDProof\peer_review\tex\companion24_trawin_enlil_protocol.tex,D:\TZPIDProof\peer_review\pdf\companion24_trawin_enlil_protocol.pdf,yes,0,,9,ID0230; ID0449; ID1473; ID1871; ID3584; ID3708; ID5092; ID6489; ID9859,9,0,,2,0,22,1/1 pass:5; 2/2 pass:2; 3/3 pass:1; 6/6 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion25,25,companion,zenodo_main_structure,companion25_tzp_information_theory_pfd.tex,"The Information Theory of Trawin Zero Points [0.6em] TZPID Companion Spine Series, Paper C25 of XXVII \normalsize Informational consequences of the gravitational emergence framework",D:\TZPIDProof\peer_review\tex\companion25_tzp_information_theory_pfd.tex,D:\TZPIDProof\peer_review\pdf\companion25_tzp_information_theory_pfd.pdf,yes,0,,11,ID0011; ID0020; ID0104; ID0463; ID4218; ID4226; ID4227; ID8796; ID8982; ID9523; ID9525,11,0,,2,0,28,1/1 pass:3; 2/2 pass:3; 3/3 pass:4; 4/4 pass:1,5,TZPID_QuantumMatter_ProbabilityCarriers; TZPID_TopologicalUnification_Focus; TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion26,26,companion,zenodo_main_structure,companion26_theory_of_it_all_trawin_topology.tex,"The Theory of It All: Trawin Topology from Lunar-Terrestrial Resonance [0.6em] TZPID Companion Spine Series, Paper C26 of XXVII \normalsize Standing-wave interference under toroidal constraint as unified field theory",D:\TZPIDProof\peer_review\tex\companion26_theory_of_it_all_trawin_topology.tex,D:\TZPIDProof\peer_review\pdf\companion26_theory_of_it_all_trawin_topology.pdf,yes,0,,7,ID10128; ID10134; ID3402; ID6489; ID8689; ID8690; ID9157,7,0,,2,0,27,1/1 pass:2; 2/2 pass:4; 6/6 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion27,27,companion,zenodo_main_structure,companion27_topological_unification.tex,"Infinity-Topos Topological Unification at Trawin Zero Points [0.6em] TZPID Companion Spine Series, Paper C27 of XXVII \normalsize Higher-categorical functors between the quantum and gravity sectors",D:\TZPIDProof\peer_review\tex\companion27_topological_unification.tex,D:\TZPIDProof\peer_review\pdf\companion27_topological_unification.pdf,yes,0,,7,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,7,0,,2,0,22,1/1 pass:2; 2/2 pass:3; 3/3 pass:1; 4/4 pass:1,7,TZPID_TopologicalUnification_Focus; TZPID_TopologyCategory_Carriers; TZPID_TopologyVector_Invariants; TZPID_Topology_Vector_Model; TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
