"pillar","id","role","obligation_role","title","canonical_equation"
"2 Ripple projection","ID0362","Scale invariance on DAANSsphere","Derived_Theorem_Obligation","Scale Invariance on the DAANSsphere","\mathbb{S}_{\mathrm{DAAN}}(\lambda r)\cong\mathbb{S}_{\mathrm{DAAN}}(r) || \mathcal{F}(\lambda x)=\lambda^{\Delta}\mathcal{F}(x)"
"2 Ripple projection","ID0104","Holographic projection S_A = Area/4G","Derived_Theorem_Obligation","Holographic Information Projection","S_A = \frac{\operatorname{Area}(\gamma_A)}{4 G_N} || \mathcal{O}_{\mathrm{bulk}}(x)=\int K(x,y)\,\mathcal{O}_{\mathrm{bdy}}(y)\,dy"
"2 Ripple projection","ID8796","Bulk–boundary dictionary","Derived_Theorem_Obligation","HOLOGRAPHIC BULK-BOUNDARY DICTIONARY Canonical Statutory Formula: ⟨…","\langle \mathcal{O}(x_1)...\mathcal{O}(x_n) \rangle_{CFT} = \frac{\delta^n Z_{string}}{\delta \phi_0(x_1)...\delta \phi_0(x_n)} \Bigg|_{\phi_0=0}"
"3 Critical scale-invariance","ID0353","Universal avalanche exponent P(s)~s^{-τ}","Core_Definition","Universal Avalanche Exponent","P(s)\sim s^{-\tau}f(s/s_{c}) || \tau=\tau_{\ast}"
"3 Critical scale-invariance","ID0395","P(s) ∝ s^{-3/2} (τ=3/2)","Derived_Theorem_Obligation","Universal Avalanche Scaling","P(s)\propto s^{-3/2}\exp\!\left(-\frac{s}{s_{\mathrm{cutoff}}}\right), || \tau=\frac{3}{2}. || P(s)\propto s^{-3/2}e^{-s/s_{\mathrm{cutoff}}} || tau=\frac{3}{2}"
"3 Critical scale-invariance","ID0470","Cascade intensity s^{-1/2}","Derived_Theorem_Obligation","Synaptic Avalanche Exponent","\begin{adjustbox}{max width=\linewidth,center} $\displaystyle I(s)\propto s^{1-\tau}=s^{-1/2} $ \end{adjustbox}"
"3 Critical scale-invariance","ID10791","Crackling relation 1/σνz=2","Derived_Theorem_Obligation","Crackling-noise exponent relation (avalanche size–duration)","1/σνz = (α−1)/(τ−1) = (2−1)/(3/2−1) = 2,   ⟨S⟩(T) ∝ T²,   T(S) ∝ S^{1/2}"
"3 Critical scale-invariance","ID10792","Avalanche/cascade 3/2 ⟺ 2/3","Core_Axiom","Avalanche/cascade reciprocal duality (3/2 ↔ 2/3)","τ_avalanche = 3/2  ⟺  1/τ = 2/3 = τ_cascade   (reciprocal map r ↦ 1/r)"
"4 Synchronization","ID0201","Well/Wall/Wave quantization  f_n = n v_A/(2πR)","Core_Definition","Standing Wave Quantization","f_n = \frac{n v_A}{2\pi R}, \qquad n \in \mathbb{N}_{>0}. || \Psi_{\mathrm{wave}} = \sum_{l\ge 2}\sum_{m=-l}^{l} A_{l,m}Y_l^m(\theta,\lambda)e^{i\omega_{l,m}t} || \omega_{\mathrm{KK}}^{2} = \omega_{\mathrm{acoustic}}^{2} + \omega_{\mathrm{magnetic}}^{2} + \left(\frac{m_{\mathrm{KK}}c}{R_{\mathrm{KK}}}\right)^{2}"
"4 Synchronization","ID0115","Kuramoto coupling  θ̇_i = ω_i + (K/N)Σ sin(θ_j−θ_i)","Core_Definition","Kuramoto Planetary Spin Model","\dot{\theta}_i = \omega_i \;+\; \frac{K}{N}\sum_{j=1}^{N}A_{ij}\sin(\theta_j-\theta_i) || A_{ij}=\frac{\sqrt{m_i m_j}}{|a_i-a_j|} || N=8"
"4 Synchronization","ID2222","Order parameter  R(t)=|(1/N)Σ e^{iθ}|","Core_Definition","Kuramoto Order Parameter","\begin{equation} R(t) = \left| \frac{1}{N}\sum_{i=1}^{N} e^{i\theta_i(t)} \right|, \label{eq:global_order} \end{equation}"
"4 Synchronization","ID7437","Orbital resonance = Kuramoto lock  sin(k₁φ₁−k₂φ₂)","Derived_Theorem_Obligation","Orbital Resonances = Kuramoto Phase Locking: sin(k_1φ_1 - k_2φ_2)","\sin(k_1\phi_1 - k_2\phi_2)"
"4 Synchronization","ID1171","Spin-orbit tidal torque  τ_tidal(ω,Ω)","Derived_Theorem_Obligation","Spin-Orbit Tidal Torque","\tau_{\mathrm{tidal}}(\omega,\Omega)=\frac{1}{I}\sum_{n=1}^{N}J_n(ne)^2\sin(2(\omega-n\Omega))"
"4 Synchronization","ID0143","Rational ratio selection  Ω_spin/Ω_orbit = p/q","Core_Axiom","Spin–Orbit Resonance Proposition","\frac{\Omega_{\mathrm{spin}}}{\Omega_{\mathrm{orb}}}=\frac{3}{2} || \tau_{\mathrm{tidal}}\propto -\gamma \sin\!\bigl(2\theta-3M\bigr) || \dot{\theta}=\Omega_{\mathrm{spin}}+\tau_{\mathrm{tidal}}"
"4 Synchronization","ID7904","π-ladder of allowed orbital ratios","Derived_Theorem_Obligation","XIV.2 π-Ladder Selection in Orbital Systems: fracω_spinω_orbit","\frac{\omega_{\text{spin}}}{\omega_{\text{orbit}}} = \frac{p}{q}."
"Unifying enclosure","ID0285","DAANSphere high-dimensional manifold","Core_Definition","Daansphere High-Dimensional Manifold","\mathcal{M}_{\mathrm{DAANS}}=\mathcal{Q}\times\mathcal{C} || \dim(\mathcal{M}_{\mathrm{DAANS}})=153600"
"Unifying enclosure","ID0245","DAANSphere manifold (enclosure)","Core_Definition","Daansphere Manifold","\begin{adjustbox}{max width=\linewidth} $\displaystyle u_i=\frac{i+1/2}{N},\qquad z_i=1-2u_i,\qquad \theta_i=\frac{2\pi i}{\varphi} $ \end{adjustbox} || \begin{adjustbox}{max width=\linewidth} $\displaystyle \mathbf{x}_i=\left(\sqrt{1-z_i^2}\cos\theta_i,\sqrt{1-z_i^2}\sin\theta_i,z_i\right) $ \end{adjustbox} || \begin{adjustbox}{max width=\linewidth} $\displaystyle N=153600,\qquad \mathbf{x}_{i+N/2}\simeq-\mathbf{x}_i $ \end{adjustbox}"
"Unifying enclosure","ID1837","Projection maps π_i : 𝒯 → R^3","Derived_Theorem_Obligation","The DAANSsphere as Distributed Memory","\pi_i: \mathcal{T} \to \mathbb{R}^3"
