queue_index,proposed_id,source_file,line_number,source_type,score,readiness,readiness_reason,domain_family,semantic_kind,semantic_context,duplicate_status,wolfram_status,candidate_equation,wolfram_form_hint,formation_method,formation_inputs,formation_note,source_tag
26,NEXT+0026,UnifiedFieldTopology- Comprehensive Theory of Everything.txt,154,line,8,id_ready,compact mathematical candidate,field_topology_mhd,Constraint,(* Topological action with helicity constraint *),new_or_nonexact,file_has_parse_clean_wolfram,"""TopologicalHelicity"" → ∫ A·B d^3x = n*ℏ_effective","^""TopologicalHelicity"" → ∫ A·B d^3x = n*ℏ_effective",Phone2 corpus extraction,UnifiedFieldTopology- Comprehensive Theory of Everything.txt,"Extracted from D:\Phone2 line 154; staged only, not minted.",PHONE2
27,NEXT+0027,_KleisliCategoryNon-DeterministicComputationMonads.txt,163,line,8,id_ready,compact mathematical candidate,category_type_theory,SemanticNote,"Proof := ∀T,C: f[T] ⊆ C ⟺ T ⊆ g[C]",new_or_nonexact,file_has_parse_clean_wolfram,"Sum[x[i,c], {i, 1, NumThreads}] <= ThreadsPerCore, ∀c,","^Sum[x[i,c], {i, 1, NumThreads}] <= ThreadsPerCore, ∀c,",Phone2 corpus extraction,_KleisliCategoryNon-DeterministicComputationMonads.txt,"Extracted from D:\Phone2 line 163; staged only, not minted.",PHONE2
28,NEXT+0028,https---orcid.txt,44,display_bracket,8,id_ready,compact mathematical candidate,general_math,,,possible_master_duplicate,needs_wolfram_translation,"H_M = \int_V A \cdot B \, dV,\quad L = \frac{1}{4\pi}\oint\!\oint\frac{(dr_1\times dr_2)\cdot(r_1 - r_2)}{|r_1 - r_2|^3}","^H_M = int_V A cdot B , dV,quad L = (1)/(4Pi)oint!oint((dr_1times dr_2)cdot(r_1 - r_2))/(|r_1 - r_2|^3)",Phone2 corpus extraction,https---orcid.txt,"Extracted from D:\Phone2 line 44; staged only, not minted.",PHONE2
29,NEXT+0029,quantum_communication_schematic.txt,14,display_dollar,8,id_ready,compact mathematical candidate,quantum_entanglement,Protocol,"Levitated Mass 153,600 Meta-bits Shell Interior Shell Exterior Fiber Optic Output Array Micro-Mappable Tips: 153,600 Spin State Resolution: |↑⟩, |↓⟩ Entanglement Protocol: Bell State: |Ψ⁻⟩ = (|01⟩ - |10⟩)/√2 Fidelity: F > 0.99 Hemisphere Mapping: North: 76,800 meta-bits South: 76,800 meta-bits",possible_master_duplicate,needs_wolfram_translation,"\hat{H}_{\text{entangle}} = \sum_{k=1}^{153600} \left[ J_k \hat{\sigma}_z^{(k,\text{lev})} \otimes \hat{\sigma}_z^{(k,\text{int})} + \Delta_k \left( \hat{\sigma}_+^{(k)} \otimes \hat{\sigma}_-^{(k)} + \text{h.c.} \right) + \lambda_k \hat{P}_{\text{fiber}}^{(k)} \right]","^hat{H}_{text{entangle}} = sum_{k=1}^{153600} left[ J_k hat{sigma}_z^{(k,text{lev})} otimes hat{sigma}_z^{(k,text{int})} + Delta_k left( hat{sigma}_+^{(k)} otimes hat{sigma}_-^{(k)} + text{h.c.} right) + lambda_k hat{P}_{text{fiber}}^{(k)} right]",Phone2 corpus extraction,quantum_communication_schematic.txt,"Extracted from D:\Phone2 line 14; staged only, not minted.",PHONE2
30,NEXT+0030,univision.txt,57,latex_align,8,id_ready,compact mathematical candidate,category_type_theory,Topos,Let $\mathcal{T}_\infty$ denote the $\infty$-topos with:,new_or_nonexact,needs_wolfram_translation,"\mathcal{T}_\infty &:= \varprojlim_{n \to \infty} \left[ \mathbf{Set}_{\Delta^{op}}^{(n)} \right] \\ \text{Objects}_0 &:= \{\text{VacuumStates}, \text{QuantumFields}, \text{SpacetimeManifolds}\} \\ \text{Morphisms}_n &:= \Hom^{(n)}[\TZP, \text{Einstein}, \text{Quantum}, \text{Neural}]","^mathcal{T}_infty &:= varprojlim_{n to infty} left[ mathbf{Set}_{Delta^{op}}^{(n)} right]  text{Objects}_0 &:= {text{VacuumStates}, text{QuantumFields}, text{SpacetimeManifolds}}  text{Morphisms}_n &:= Hom^{(n)}[TZP, text{Einstein}, text{Quantum}, text{Neural}]",Phone2 corpus extraction,univision.txt,"Extracted from D:\Phone2 line 57; staged only, not minted.",PHONE2
31,NEXT+0031,univision.txt,114,latex_align,8,id_ready,compact mathematical candidate,general_math,SemanticNote,\begin{proof},new_or_nonexact,needs_wolfram_translation,Z_{\TZP} &= \int \mathcal{D}\phi \mathcal{D}\psi \mathcal{D}A_\mu \exp\left[\frac{i}{\hbar}\left(\mathcal{S}_{\text{cl}} + \mathcal{S}_{\text{qu}} + \mathcal{S}_{\text{top}}\right)\right] \\ \mathcal{S}_{\text{top}} &= \int_{\mathcal{M}} d^4x \sqrt{-g} \left[\lambda_{\TZP} \delta^{(4)}(x-x_{\TZP}) \log\left(\frac{\Lambda_{\text{UV}}}{\Lambda_{\text{IR}}}\right)\right],^Z_{TZP} &= int mathcal{D}phi mathcal{D}psi mathcal{D}A_mu Expleft[(i)/(hbar)left(mathcal{S}_{text{cl}} + mathcal{S}_{text{qu}} + mathcal{S}_{text{top}}right)right]  mathcal{S}_{text{top}} &= int_{mathcal{M}} d^4x Sqrt[-g] left[lambda_{TZP} delta^{(4)}(x-x_{TZP}) Logleft(frac{Lambda_{text{UV}}}{Lambda_{text{IR}}}right)right],Phone2 corpus extraction,univision.txt,"Extracted from D:\Phone2 line 114; staged only, not minted.",PHONE2
32,NEXT+0032,AntipodalEntanglementProtocol.txt,137,line,7,review,needs human equation boundary check,quantum_entanglement,Monad,(* Monad Laws Verification *),new_or_nonexact,file_has_parse_clean_wolfram,"InnerProduct[ψ_1, ψ_2] := Integrate[","^InnerProduct[ψ_1, ψ_2] := Integrate[",Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 137; staged only, not minted.",PHONE2
33,NEXT+0033,AntipodalEntanglementProtocol.txt,193,line,7,review,needs human equation boundary check,quantum_entanglement,Monad,(* Monad Laws Verification *),new_or_nonexact,file_has_parse_clean_wolfram,M_f^t := f[X_t] - f[X_0] - ∫_0^t 𝒜f[X_s]ds,^M_f^t := f[X_t] - f[X_0] - ∫_0^t 𝒜f[X_s]ds,Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 193; staged only, not minted.",PHONE2
34,NEXT+0034,AntipodalEntanglementProtocol.txt,215,line,7,review,needs human equation boundary check,quantum_entanglement,Monad,(* Monad Laws Verification *),new_or_nonexact,file_has_parse_clean_wolfram,] /. Λ[θ] = lim_{t→∞} (1/t)Log[𝔼[Exp[θ·X_t]]],^] /. Λ[theta] = lim_{t→∞} (1/t)Log[𝔼[Exp[theta·X_t]]],Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 215; staged only, not minted.",PHONE2
35,NEXT+0035,AntipodalEntanglementProtocol.txt,314,line,7,review,needs human equation boundary check,quantum_entanglement,Functor,(* TQFT Functor *),new_or_nonexact,file_has_parse_clean_wolfram,"S_{CS}[A] = (k/4π) ∫_M Tr[A ∧ dA + (2/3)A ∧ A ∧ A],","^S_{CS}[A] = (k/4Pi) ∫_M Tr[A ∧ dA + (2/3)A ∧ A ∧ A],",Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 314; staged only, not minted.",PHONE2
36,NEXT+0036,AntipodalEntanglementProtocol.txt,428,line,7,review,needs human equation boundary check,quantum_entanglement,Axiom,(* Univalence Axiom *),new_or_nonexact,file_has_parse_clean_wolfram,"comp^i: ∏_{A:I→𝒰} ∏_{φ:𝔽} (∀i.φ → A(i)) → A(0) → A(1),","^comp^i: ∏_{A:I→𝒰} ∏_{phi:𝔽} (∀i.phi → A(i)) → A(0) → A(1),",Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 428; staged only, not minted.",PHONE2
37,NEXT+0037,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,22,line,7,review,needs human equation boundary check,category_type_theory,Topos,𝓣 = CategoryTheory`Topos[,new_or_nonexact,file_has_parse_clean_wolfram,"SheafCondition → ∀F: Presheaf, F(U) ≅ lim_{V∈Cover(U)} F(V)","^SheafCondition → ∀F: Presheaf, F(U) ≅ lim_{V∈Cover(U)} F(V)",Phone2 corpus extraction,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,"Extracted from D:\Phone2 line 22; staged only, not minted.",PHONE2
38,NEXT+0038,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,55,line,7,review,needs human equation boundary check,protocol_systems,SemanticNote,Proof → Module[,new_or_nonexact,file_has_parse_clean_wolfram,ℙ_n^{precomputed} = 1/n Sum[,^ℙ_n^{precomputed} = 1/n Sum[,Phone2 corpus extraction,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,"Extracted from D:\Phone2 line 55; staged only, not minted.",PHONE2
39,NEXT+0039,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,279,line,7,review,needs human equation boundary check,protocol_systems,Theorem,(* Doob's convergence theorem *),new_or_nonexact,file_has_parse_clean_wolfram,"If[Sup_t 𝔼[|ℙ^{(t)}|] < ∞ ∧ lim_{t→∞} Var[ℙ^{(t)}] = 0,","^If[Sup_t 𝔼[|ℙ^{(t)}|] < ∞ ∧ lim_{t→∞} Var[ℙ^{(t)}] = 0,",Phone2 corpus extraction,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,"Extracted from D:\Phone2 line 279; staged only, not minted.",PHONE2
40,NEXT+0040,Quantum-Neural Cartographic Functor.txt,502,line,7,review,needs human equation boundary check,category_type_theory,Protocol,### **§Ⅴ. Quantum Observable Extraction: Von Neumann Measurement Protocol**,new_or_nonexact,file_has_parse_clean_wolfram,F = 2 Sum[,^F = 2 Sum[,Phone2 corpus extraction,Quantum-Neural Cartographic Functor.txt,"Extracted from D:\Phone2 line 502; staged only, not minted.",PHONE2
41,NEXT+0041,QuantumP.txt,124,line,7,review,needs human equation boundary check,quantum_entanglement,Protocol,(* Weak Measurement Protocol *),new_or_nonexact,file_has_parse_clean_wolfram,"MeasurementOutcome == |1⟩, PauliMatrix[1],","^MeasurementOutcome == |1⟩, PauliMatrix[1],",Phone2 corpus extraction,QuantumP.txt,"Extracted from D:\Phone2 line 124; staged only, not minted.",PHONE2
42,NEXT+0042,UnificationComparison.txt,42,line,7,review,needs human equation boundary check,general_math,Mechanism,Mechanism = DimensionalCollapse[4D → 2D] @ InfiniteOrderTransition;,new_or_nonexact,needs_wolfram_translation,"Limit[dimension_flow, μ_scale -> μ_TZP] == 2","^Limit[dimension_flow, mu_scale -> mu_TZP] == 2",Phone2 corpus extraction,UnificationComparison.txt,"Extracted from D:\Phone2 line 42; staged only, not minted.",PHONE2
43,NEXT+0043,UnificationComparison.txt,65,line,7,review,needs human equation boundary check,general_math,Mechanism,Mechanism = DimensionalCollapse[4D → 2D] @ InfiniteOrderTransition;,new_or_nonexact,needs_wolfram_translation,Level -> k = 1/(4π) * ∫_Î£ Tr[F ∧ F],^Level -> k = 1/(4Pi) * ∫_Î£ Tr[F ∧ F],Phone2 corpus extraction,UnificationComparison.txt,"Extracted from D:\Phone2 line 65; staged only, not minted.",PHONE2
