family,kind,queue_status,covered_queue_rows,isabelle_files,current_level,typed_carrier_exists,explicit_assumptions,isabelle_checked,wolfram_certificate,paper_priority,completion_state,next_upgrade,definition_count,theorem_or_lemma_count,assumes_count,type_or_const_count,forbidden_shortcut_hits,missing_files
Master theorem batch 001,batch,batch001_started,50,TZPID_Theorem_Semantic_Batch001.thy; TZPID_MasterBatch001_Carriers.thy,typed_residual_guard_plus_master_carriers,yes,yes,clean_build,python_certificate,high,master_batch001_carriers_locked,Connect broad batch 001 carriers to specific spine documents and replace image placeholders as source artifacts mature.,29,34,21,2,0,
Master theorem batch 002,batch,batch002_started,60,TZPID_Theorem_Semantic_Batch002.thy; TZPID_MasterBatch002_Carriers.thy,typed_residual_guard_plus_master_helicity_kk_carriers,yes,yes,clean_build,python_certificate,high,master_batch002_carriers_locked,"Connect batch 002 helicity/KK/pressure carriers to magnetic-torsion, operator-spectral, and avalanche spine documents.",31,33,11,0,0,
Master theorem batch 003,batch,batch003_started,51,TZPID_Theorem_Semantic_Batch003.thy; TZPID_MasterBatch003_Carriers.thy,typed_residual_guard_plus_balance_projection_carriers,yes,yes,clean_build,python_certificate,medium,master_batch003_carriers_locked,"Connect batch 003 balance/projection carriers to Hopf, MHD, radius-ratio, and S3-boundary spine documents.",38,42,18,6,0,
Master theorem batch 004,batch,batch004_started,7,TZPID_Theorem_Semantic_Batch004.thy; TZPID_MasterBatch004_Carriers.thy,typed_residual_guard_plus_base_boundary_decay_carriers,yes,yes,clean_build,python_certificate,medium,master_batch004_carriers_locked,"Connect batch 004 base-unit, boundary, information, decay, and dispersion carriers to publication-facing verification appendices.",20,21,15,0,0,
Topology/vector batch 005,batch,batch005_started,38,TZPID_Topology_Vector_Model.thy; TZPID_Theorem_Semantic_Batch005_Topology_Vector.thy; TZPID_TopologyVector_Invariants.thy,typed_scaffold_plus_topological_invariant_carriers,yes,yes,clean_build,python_certificate,high,topology_vector_invariants_locked,Connect topological invariant carriers to Hopf/continuity projection semantics and geometry/manifold batch 008.,33,43,14,8,0,
Operator/spectral batch 006,batch,batch006_started,30,TZPID_Operator_Spectral_Model.thy; TZPID_Theorem_Semantic_Batch006_Operator_Spectral.thy; TZPID_OperatorSpectral_Carriers.thy,typed_scaffold_plus_finite_spectral_carriers,yes,yes,clean_build,python_certificate,high,operator_spectral_carriers_locked,"Connect finite spectral carriers to Bessel root certificates, S3 eigenvalue ladders, and operator/spectral follow-up batch 012.",31,52,28,2,0,
Quantum/open-system batch 007,batch,batch007_started,23,TZPID_Quantum_Open_System_Model.thy; TZPID_Theorem_Semantic_Batch007_Quantum_Open_Systems.thy; TZPID_QuantumOpenSystem_Carriers.thy,typed_scaffold_plus_open_system_density_channel_carriers,yes,yes,clean_build,python_certificate,high,quantum_open_system_carriers_locked,Connect diagonal open-system carriers to full density-matrix/CPTP semantics and quantum/matter probability carriers.,34,61,12,3,0,
Geometry/manifold batch 008,batch,batch008_started,17,TZPID_Geometry_Manifold_Model.thy; TZPID_Theorem_Semantic_Batch008_Geometry_Manifold.thy; TZPID_GeometryManifold_Carriers.thy,typed_scaffold_plus_metric_projection_curvature_carriers,yes,yes,clean_build,python_certificate,high,geometry_manifold_carriers_locked,"Connect finite geometry carriers to Hopf projection continuity, S3 spectrum geometry, and curvature closeout batch 019.",29,49,13,2,0,
Dynamics/scaling batch 009,batch,batch009_started,13,TZPID_Dynamics_Scaling_Model.thy; TZPID_Theorem_Semantic_Batch009_Dynamics_Scaling.thy; TZPID_DynamicsScaling_Carriers.thy,typed_scaffold_plus_dynamics_scaling_carriers,yes,yes,clean_build,python_certificate,medium,dynamics_scaling_carriers_locked,Connect dynamics/scaling carriers to time-domain simulations and paper-facing scaling-law appendices.,24,39,15,0,0,
Meta-foundation batch 010,batch,batch010_started,13,TZPID_Meta_Foundation_Model.thy; TZPID_Theorem_Semantic_Batch010_Meta_Foundation.thy; TZPID_MetaFoundation_Carriers.thy,typed_scaffold_plus_meta_foundation_carriers,yes,yes,clean_build,python_certificate,medium,meta_foundation_carriers_locked,"Connect meta-foundation carriers to README provenance, falsifiability statements, and publication verification tables.",27,42,25,0,0,
Magnetic/torsion batch 011,batch,batch011_started,21,TZPID_Magnetic_Torsion_Model.thy; TZPID_Theorem_Semantic_Batch011_Magnetic_Torsion.thy; TZPID_MagneticTorsion_VectorMHD.thy,typed_scaffold_plus_vector_mhd_helicity_torsion,yes,yes,clean_build,python_certificate,high,vector_mhd_helicity_torsion_locked,Connect vector-MHD torsion/helicity semantics to vortex-core enclosure and gyromagnetic loop-index certificates.,21,36,15,0,0,
Operator/spectral follow-up batch 012,batch,batch012_started,15,TZPID_Theorem_Semantic_Batch012_Operator_Spectral_Followup.thy; TZPID_OperatorSpectral_FollowupCarriers.thy,typed_residual_guard_plus_followup_spectral_carriers,yes,yes,clean_build,python_certificate,high,operator_spectral_followup_locked,Connect batch 012 follow-up carriers directly to Bessel root certificates and S3 eigenvalue geometry.,16,24,18,0,0,
Topology/category follow-up batch 013,batch,batch013_started,15,TZPID_Theorem_Semantic_Batch013_Topology_Category_Followup.thy; TZPID_TopologyCategory_Carriers.thy,typed_residual_guard_plus_finite_category_carriers,yes,yes,clean_build,python_certificate,medium,topology_category_carriers_locked,Connect finite category carriers to Hopf projection continuity and source-level category documents.,26,28,7,2,0,
Dynamics/stability follow-up batch 014,batch,batch014_started,11,TZPID_Theorem_Semantic_Batch014_Dynamics_Stability_Followup.thy; TZPID_DynamicsStability_Carriers.thy,typed_residual_guard_plus_stability_margin_carriers,yes,yes,clean_build,python_certificate,medium,dynamics_stability_carriers_locked,Connect stability margin carriers to time-domain numerical stability scans and paper-facing solver appendices.,22,25,15,0,0,
Emergence/bifurcation follow-up batch 015,batch,batch015_started,7,TZPID_Theorem_Semantic_Batch015_Emergence_Bifurcation_Followup.thy; TZPID_EmergenceBifurcation_NormalForms.thy,typed_residual_guard_plus_bifurcation_normal_forms,yes,yes,clean_build,python_certificate,high,bifurcation_normal_forms_locked,Connect normal-form carriers to concrete source IDs and physical control-parameter candidates.,15,16,8,0,0,
Orbital/gyromagnetic follow-up batch 016,batch,batch016_started,7,TZPID_Theorem_Semantic_Batch016_Orbital_Gyromagnetic_Followup.thy; TZPID_GyromagneticMovement_Typed_PhaseGradient.thy; TZPID_GyromagneticMovement_VectorCalculus.thy; TZPID_GyromagneticMovement_MHD_Helicity.thy; TZPID_GyromagneticMovement_LoopIndex.thy,typed_residual_guard_plus_gyromagnetic_vector_loop_semantics,yes,yes,clean_build,python_certificate,high,gyromagnetic_vector_loop_semantics_locked,Connect loop-index semantics to vortex-core enclosure and MHD helicity conservation.,41,43,25,0,0,
Quantum/matter follow-up batch 017,batch,batch017_started,7,TZPID_Theorem_Semantic_Batch017_Quantum_Matter_Followup.thy; TZPID_QuantumMatter_ProbabilityCarriers.thy,typed_residual_guard_plus_probability_density_bell_conservation,yes,yes,clean_build,python_certificate,high,probability_density_bell_conservation_locked,Lift diagonal probability carriers toward complex density matrices and CPTP channel composition.,18,18,12,0,0,
Resonance-locking follow-up batch 018,batch,batch018_started,5,TZPID_Theorem_Semantic_Batch018_Resonance_Locking_Followup.thy; TZPID_PhaseLockingResonance_Typed_RatioSelection.thy; TZPID_PhaseLockingResonance_CaptureBasin.thy; TZPID_PhaseLockingResonance_KuramotoFiniteN.thy,typed_residual_guard_plus_ratio_capture_basin_finite_n_kuramoto_semantics,yes,yes,clean_build,python_certificate,high,ratio_capture_basin_finite_n_kuramoto_locked,Extend the finite-N algebraic scan into a time-domain Kuramoto integration certificate and orbital capture examples.,27,31,22,0,0,
Geometry/curvature closeout batch 019,batch,batch019_started,1,TZPID_Theorem_Semantic_Batch019_Geometry_Curvature_Closeout.thy; TZPID_GeometryCurvature_Carriers.thy,typed_residual_guard_plus_curvature_coupling_carriers,yes,yes,clean_build,python_certificate,medium,geometry_curvature_carriers_locked,Connect curvature coupling carriers to manifold/metric spine appendices and source-level curvature obligations.,10,11,7,0,0,
