"spine","id","title","role","obligation_role","canonical_equation","wolfram_check"
"Energy-to-Matter Logic","ID0188","Pressure Mechanism for Matter Creation","Matter-creation pressure threshold  P_vac >= P_crit","Core_Axiom","P_{\mathrm{vac}} \ge P_{\mathrm{crit}} || \rho_{\mathrm{matter}} \uparrow",""
"Energy-to-Matter Logic","ID0409","The Superconducting Pair Creation Operator","Superconducting pair-creation operator","Derived_Theorem_Obligation","\begin{adjustbox}{max width=\linewidth,center} $\displaystyle \hat{H}_{\mathrm{SC}}=\Delta\,c_{\uparrow}^{\dagger}c_{\do",""
"Energy-to-Matter Logic","ID2846","Mass–Energy Equivalence (E=mc²)","Mass-energy equivalence  E = m c^2  (mass fixing)","Core_Axiom","\( E = mc^2 \\)",""
"Energy-to-Matter Logic","ID1816","Matter Is the Memory of Space","Created matter sources curvature  nabla^2 Phi = 4 pi G_eff rho  (closure)","Derived_Theorem_Obligation","\nabla^2\Phi = 4\pi G_\text{eff}\rho(\mathbf{x})",""
"Topological Unification","ID9342","Definition of 𝐹","Connection curvature F = dA + A wedge A ; CS(A)!=0 => O_top!=0","Core_Definition","𝐹=𝑑𝐴+𝐴∧𝐴 CS(𝐴)≠0 =⇒ Otop≠0","topo_chern_quantization"
"Topological Unification","ID8480","CHERN-SIMONS ACOUSTIC INVARIANT Canonical Statutory Formula: S_CS","Chern-Simons action S_CS","Core_Definition","S_{CS} = \int_{M} A \wedge dA + \Gamma_{acoustic}","topo_obstruction_nonvanishing"
"Topological Unification","ID8931","TOPOLOGICAL CHERN NUMBER Canonical Statutory Formula: C_1","Chern number C_1 in Z (quantized charge)","Derived_Theorem_Obligation","C_1 = \frac{1}{2\pi} \int_{BZ} F \cdot dS \in \mathbb{Z}","topo_invariant_decomposition"
"Topological Unification","ID0643","Gauss Linking Number and Topological Invariant","Gauss linking number Lk (poloidal/toroidal linkage)","Derived_Theorem_Obligation","\tzpfitmath{Lk = \frac{1}{4\pi} \oint_{C_1} \oint_{C_2} \frac{ (\mathbf{r}_1-\mathbf{r}_2) \cdot (\mathrm{d}\mathbf{r}_1",""
"Topological Unification","ID9892","Topological Invariant Ω and Entangled Directionality Curvature: Ω_top","Assembled topological invariant Omega_top = C_1(T^2) + pi w(T^2)","Derived_Theorem_Obligation","\Omega_{\mathrm{top}} = C_1(T^2) + \pi\,w(T^2) + \log \Pi_{\pi},",""
"Topological Unification","ID9176","L Statement: the Obstruction Class for Topological Unification","Obstruction class for topological unification","Derived_Theorem_Obligation","A_\mudxΘ{\mu}+B_{\text{gravitational}}+ C_{\text{electromagnetic}}Aµ= Aµdxµ+Bgravitational",""
"Topological Unification","ID5773","Trawin Topology Unified Field Theory Equation","Trawin topology unified field equation h_mu nu","Derived_Theorem_Obligation","\[ h_{\mu\nu} = A\,\psi^{*}\partial_{\mu}\partial_{\nu}\psi \]",""
